SaleID,name,regDate,model,brand,bodyType,fuelType,gearbox,power,kilometer,notRepairedDamage,regionCode,seller,offerType,creatDate,price,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,car_age_years,km_per_year,log_price
0,736,20040402,30.0,6.0,1.0,0.0,0.0,60.0,12.5,0.0,1046,0,0.0,20160404.0,1850.0,43.35779631250583,3.9663441656784544,0.0502570942141764,2.15974409399339,1.143786186793559,0.2356759066991101,0.1019882407795388,0.129548661418789,0.0228163674000626,0.0974618287057619,-2.8818032385553165,2.8040967707208506,-2.4208207926122784,0.7952919433118377,0.9147624995703408,12.005475701574264,1.0411915621436716,7.523481312573497
1,2262,20030301,40.0,1.0,2.0,0.0,0.0,0.0,15.0,,4366,0,0.0,20160309.0,3600.0,45.30527301812686,5.236111897708937,0.1379253238400438,1.3806574602893849,-1.4221649206603162,0.2647772555037097,0.1210035940411651,0.1357307068829055,0.0265974481182627,0.0205816626324844,-4.9004818817666775,2.0963376444273414,-1.0304828371563102,-1.7226737753851349,0.2455224109670493,13.023956194387406,1.1517237754887535,8.188966863648876
2,14874,20040403,115.0,15.0,1.0,0.0,0.0,163.0,12.5,0.0,2806,0,0.0,20160402.0,6222.0,45.97835906231524,4.823792215285537,1.3195241517895064,-0.9984672739518792,-0.996911034763586,0.2514101478087587,0.1149122765404641,0.1651474933449641,0.0621728373072624,0.027074824168305,-4.846749260269903,1.803558941229932,1.5653296250457631,-0.8326873267265079,-0.2299628561325907,11.997262149212867,1.0419043815609312,8.736007384569218
3,71865,19960908,109.0,10.0,0.0,0.0,1.0,193.0,15.0,0.0,434,0,0.0,20160312.0,2400.0,45.68747820238568,4.492574133926967,-0.0506158425753727,0.8835996711505136,-2.228078725239773,0.2742931709082824,0.110300084686438,0.1219637457318679,0.0333945471221996,0.0,-4.509598823524796,1.2859397444845837,-0.5018679084368517,-2.4383527366881763,-0.4786993792688288,19.50718685831622,0.7689473684210527,7.783640596221253
4,111080,20120103,110.0,5.0,1.0,0.0,0.0,68.0,5.0,0.0,6977,0,0.0,20160313.0,5200.0,44.38351084286087,2.031433258227642,0.5721689478637533,-1.5712390275218755,2.246088325318186,0.2280356217997828,0.0732050535564685,0.0918804792826277,0.078819384734986,0.1215342414252456,-1.8962402786050725,0.9107831337379366,0.9311095588151708,2.8345178203938377,1.9234819632780635,4.191649555099247,1.192847811887655,8.556606193773073
5,137642,20090602,24.0,10.0,0.0,1.0,0.0,109.0,10.0,0.0,3690,0,0.0,20160319.0,8000.0,46.3231653817744,-3.229285171266851,0.1566149283390046,-1.7272169244954632,-0.3456895594045602,0.2602464497107163,0.0005182407774487,0.1198376268421519,0.0909217381918039,0.0487693131838932,1.8855255403890592,-2.7219432986174272,2.457659673092216,-0.2869734521638574,0.2065725842462785,6.795345653661875,1.4715954875100725,8.987321812850125
6,2402,19990411,13.0,4.0,0.0,0.0,1.0,150.0,15.0,0.0,3073,0,0.0,20160317.0,3500.0,46.10433461703255,4.926219444368321,0.1133114326539666,1.644606453037599,-1.2703813885986035,0.267998148281291,0.1176752804978855,0.1423341784562707,0.0254457330909708,0.0281740889484806,-4.902199843903487,1.6106163868619114,-0.8346050900939878,-1.9961172184852607,-0.103180361569036,16.933607118412045,0.8858124494745353,8.160803920954665
7,165346,19990706,26.0,14.0,1.0,0.0,0.0,101.0,15.0,0.0,4000,0,0.0,20160326.0,1000.0,42.255585819004814,-3.167771424456629,-0.6766928879278368,1.9426729837728287,0.5242058881986318,0.2395059297716484,0.0,0.1229431300735542,0.0398393621545333,0.0824125340955883,3.6938287580246114,-0.2450140381538229,-2.1928097189004454,0.2367279718667702,0.1955674507297452,16.722792607802873,0.8969793713163066,6.90875477931522
8,2974,20030205,19.0,1.0,2.0,1.0,1.0,179.0,15.0,0.0,4679,0,0.0,20160326.0,2850.0,46.08488801384834,4.893716550309196,0.4753331302828047,0.5565750102457186,-1.2624898685134558,0.2638327857621019,0.1165826806382554,0.1442547659281785,0.0398512004400342,0.0243875771816937,-4.925234337008594,1.5877956620094642,0.0753476162208484,-1.5510978738920809,0.0694329640243554,13.136208076659821,1.1418820341809088,7.955425088912672
9,82021,19980101,7.0,7.0,5.0,0.0,0.0,88.0,15.0,0.0,302,0,0.0,20160402.0,650.0,43.07462647776722,1.6663861955536914,-2.2015449141144696,3.096860713179949,0.8438521497767868,0.2624727278632309,0.0682671163114309,0.0121756060251876,0.0102913318108312,0.0987274912773639,-1.089583621016556,0.600682839511134,-4.186209599379301,0.1982730611708035,-1.0258224809501677,18.250513347022586,0.821894689468947,6.478509642208569
10,18961,20050811,19.0,9.0,3.0,1.0,0.0,101.0,15.0,0.0,1193,0,0.0,20160320.0,3100.0,45.4012408106402,4.19531117054076,-0.3705125051056646,0.4442513403193768,-0.0849211147232841,0.2619440156365181,0.1053852834284795,0.0772714707617037,0.0424445946093277,0.0607941579214736,-4.206000305836536,1.0603908799245334,-0.6475152253048767,-0.1911935100050809,0.3491873370490697,10.60643394934976,1.4142359318533815,8.03947991910045
11,74495,20080312,1.0,6.0,2.0,0.0,0.0,75.0,2.0,0.0,5709,0,0.0,20160326.0,5450.0,44.35598388910977,-3.04079314851274,-0.404017904999722,-1.864856750570952,-0.8927896531526949,0.2604966362349064,0.0005415994165144,0.0756291098398483,0.0871315843102019,0.0300191117300295,2.3266818317933766,-2.0938895707527743,1.3661020032643387,0.0366129915601252,1.499550709760264,8.038329911019849,0.24880790190735697,8.603554357064281
12,120103,20010307,48.0,14.0,1.0,0.0,0.0,58.0,6.0,0.0,2753,0,0.0,20160321.0,1600.0,42.30922400496684,-3.082286008106568,-0.6048132575528504,0.8433331663428728,0.388726738310419,0.240774541867861,0.0001162993565311,0.1045734263292354,0.0533025965953955,0.0742495568087402,3.4772913728890664,-0.4614501662364378,-1.4428349139302823,0.6592553388259733,1.1993498610648266,15.039014373716633,0.3989623156744948,7.3783837129967145
